"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"gene 32","gene 32",0.156681968143959,2.39174555063785,-0.492526421448095,0.000104158326381125
"gene101","gene101",0.463252119055416,2.01377806142351,-0.374898688309863,0.00193124972848262
"gene172","gene172",0.98120464171086,2.54614243959178,0.444222222966543,0.00241783766102531
"gene149","gene149",0.937078279285646,2.58209361482329,0.425565079531102,0.00359629223020235
"gene127","gene127",0.439832559800156,2.22302461569951,-0.320118088881107,0.00607921808678241
"gene  9","gene  9",0.36481498090905,2.37334317818236,-0.298140193387542,0.00927660692581825
"gene140","gene140",0.533607129821071,2.15954154091312,-0.260846130758016,0.0181053243775997
"gene 78","gene 78",0.557297022847967,2.1125320805305,-0.256256816120327,0.0195762965909343
"gene167","gene167",0.343286798376778,2.49491010587803,-0.229990609844511,0.0300827891981386
"gene 58","gene 58",0.380252327618268,2.44567986174458,-0.228158994265232,0.0309635687765407
"gene 93","gene 93",0.628849144423403,1.96996194689789,-0.219506071286833,0.0354177466526116
"gene201","gene201",0.427147695712059,2.40430560232393,-0.212555530329789,0.0393648231456042
"gene 85","gene 85",0.981505106827898,2.33287815063256,0.289981336682976,0.0406530285887263
"gene148","gene148",0.47956831337195,2.3466555123442,-0.202632566113681,0.0456125938414068
"gene196","gene196",0.518151787992194,2.29271270684422,-0.198525336136806,0.0484216128828151
"gene 20","gene 20",0.970370510374369,2.31540180429726,0.267312225496801,0.0564583949126242
"gene191","gene191",0.599892724027385,2.17946294222315,-0.185371256601574,0.0583580696638004
"gene192","gene192",0.649130301047341,2.04511859816973,-0.18164685122915,0.0614446561430908
"gene160","gene160",0.857462771534359,2.46121056685471,0.260311291500062,0.0622150847645701
"gene 35","gene 35",0.464894561006114,2.40342399934724,-0.175477702404864,0.0668360571446229
"gene102","gene102",0.977539545531144,2.28003588848068,0.253824401094089,0.0679484534110851
"gene125","gene125",0.671151271784917,1.98255042935288,-0.173892937637433,0.0682784628232554
"gene 86","gene 86",0.957698740210245,2.30550181125731,0.248508959766331,0.0729437088929102
"gene 26","gene 26",0.679195573105816,1.97967784933389,-0.166584695462756,0.075242836457558
"gene143","gene143",0.980778113556548,2.25912117319017,0.243850319445181,0.0775487124416937
"gene212","gene212",0.552341453883408,2.29884136608988,-0.160814562750282,0.0811141201697005
"gene 24","gene 24",0.931281308401337,2.33130657843714,0.238711276542871,0.0828810469505387
"gene142","gene142",0.961096905115138,2.27697439003346,0.235575990409352,0.0862670774761345
"gene 11","gene 11",0.54977646813099,2.31788052812697,-0.151731850141928,0.0910469295004049
"gene 31","gene 31",0.625116823149249,2.202567937441,-0.145439884924846,0.0984388192101424
"gene123","gene123",0.958898491589203,2.26234587546278,0.224115814974445,0.0995253054695147
"gene211","gene211",0.972204664647762,2.23729464615534,0.220827205845259,0.103591605502057
"gene131","gene131",0.970376721227346,2.23972597986119,0.22058583479327,0.103894737014716
"gene 69","gene 69",0.705574503552987,1.98696235116632,-0.138366605728776,0.1072626686391
"gene 75","gene 75",0.974153775046604,2.22406354246406,0.214783324840385,0.111376556149608
"gene 60","gene 60",0.948938267079091,2.26234587546278,0.214155590464333,0.112208512220929
"gene 68","gene 68",0.670145977110424,2.14176272172785,-0.131385499601373,0.116517126219892
"gene 43","gene 43",0.970494278166514,2.22302461569951,0.210543629485251,0.117081906907458
"gene114","gene114",0.700064558725779,2.04606544807739,-0.130480222343168,0.117757473746578
"gene130","gene130",0.934663731668012,2.27649332345508,0.208859068418988,0.119405346127312
"gene126","gene126",0.672659775966066,2.14176272172785,-0.128871700745731,0.119984350390076
"gene 42","gene 42",0.94321743187103,2.2578746326169,0.205460421364501,0.124191529496638
"gene 39","gene 39",0.981926043757225,2.19097992057887,0.204011342864209,0.126272484633859
"gene176","gene176",0.97995228426221,2.19097992057887,0.202037583369193,0.129145816663837
"gene 12","gene 12",0.731863462059288,1.959529258519,-0.119359483953652,0.133760017368679
"gene188","gene188",0.978670542739631,2.1876358665212,0.198565929549792,0.134309042623403
"gene121","gene121",0.920373825138916,2.28003588848068,0.196658680701862,0.137205150059509
"gene 17","gene 17",0.743834444682399,1.92908055658172,-0.115795444178605,0.139191168081989
"gene199","gene199",0.944475747465819,2.23931967079295,0.194419723120329,0.140659017031091
"gene117","gene117",0.959476896207035,2.21217420574093,0.194020981493635,0.141280261672142
"gene157","gene157",0.963344956584776,2.202567937441,0.19278824851068,0.143212626128597
"gene134","gene134",0.94782291926753,2.23029102379052,0.192088515904854,0.14431739465889
"gene137","gene137",0.758762564790743,1.89147357031499,-0.110805765652943,0.147043849377786
"gene164","gene164",0.982036337911358,2.16561605422489,0.189821930251206,0.147935336297384
"gene184","gene184",0.875414500540921,2.34165014463347,0.18973061576769,0.148082354493317
"gene107","gene107",0.60989062976191,2.29388737186212,-0.106120849383199,0.154682384642353
"gene174","gene174",0.951995986085318,2.21015316759793,0.185582559301896,0.154863953378002
"gene154","gene154",0.950927725652664,2.21209316100463,0.18543136398872,0.15511495538698
"gene136","gene136",0.927143203732389,2.25000257306294,0.184118250716342,0.157306168494445
"gene155","gene155",0.979175141222403,2.15750751172707,0.183918732119703,0.157640880643325
"gene194","gene194",0.631599161837198,2.26234587546278,-0.10318351477756,0.15960298654524
"gene 92","gene 92",0.9584413713661,2.19097992057887,0.180526670473084,0.163402943626542
"gene 36","gene 36",0.978981686582071,2.14540894646249,0.178948087015844,0.16613053673113
"gene  8","gene  8",0.960213490617138,2.18418790558998,0.177901252186819,0.167955461878958
"gene 44","gene 44",0.612605562268577,2.30342478795316,-0.0978412980572685,0.168811930296728
"gene 23","gene 23",0.903002597126085,2.27649332345508,0.177197933877061,0.169188760815101
"gene145","gene145",0.89095837058368,2.29388737186212,0.174946891438571,0.173175031714369
"gene 66","gene 66",0.926977752803289,2.23528039190488,0.17432299518748,0.174290363611086
"gene 77","gene 77",0.698407678323615,2.17376341261735,-0.0900931024209771,0.182762439324552
"gene 76","gene 76",0.711629253979685,2.14176272172785,-0.0899022227321111,0.183114958616732
"gene139","gene139",0.882046279430328,2.29847557450245,0.168676801282498,0.184590710951833
"gene 94","gene 94",0.905077654770729,2.25365725291039,0.164501968944721,0.19244518470204
"gene  6","gene  6",0.934156487741547,2.202567937441,0.163599779667452,0.194169024481083
"gene113","gene113",0.76608001310707,2.45325436767333,0.163292050316034,0.194759156605267
"gene190","gene190",0.772217975510108,1.94310158512961,-0.0835899461140251,0.195010556691533
"gene 18","gene 18",0.896781749305005,1.45957451728995,-0.083497734824995,0.195187741264067
"gene108","gene108",0.735992938725069,2.10053044152211,-0.0818949866574804,0.198283038230806
"gene 74","gene 74",0.787201086603185,1.90579922584207,-0.0785174491568668,0.204902142161373
"gene 95","gene 95",0.830103801796621,2.36031338694475,0.157625104729828,0.205820676939477
"gene133","gene133",0.784692120525818,1.92309098319765,-0.0765051820058943,0.208907367269897
"gene 19","gene 19",0.779838930105252,1.9577043929905,-0.0718921137950911,0.218261451021926
"gene106","gene106",0.904450527996972,2.23068777311279,0.148956108190654,0.223444961781017
"gene116","gene116",0.909897579895032,2.22114871206694,0.14892056696019,0.223518941804599
"gene 65","gene 65",0.971976011566132,2.0759771375832,0.147811048007613,0.225835430867755
"gene124","gene124",0.924761489303189,2.19097992057887,0.146846788410172,0.2278596229673
"gene135","gene135",0.951418664421351,2.13178729136463,0.145702939412653,0.230273995529175
"gene 45","gene 45",0.739106677443175,2.13645139382787,-0.0646481357237689,0.233426745201695
"gene169","gene169",0.865514875086671,1.67692649497159,-0.0614369407849634,0.240331942817615
"gene193","gene193",0.707914257432998,2.21131397331355,-0.0579423000082623,0.247971366816553
"gene138","gene138",0.938545707489785,2.14176272172785,0.137014230777988,0.249073231442556
"gene183","gene183",0.810210258249319,1.90480777096205,-0.0557719699875315,0.252780231043363
"gene162","gene162",0.9004906491296,2.21209316100463,0.134994287465656,0.253557775230203
"gene 30","gene 30",0.949217843591476,2.10703421219287,0.133603585036638,0.256669797983974
"gene206","gene206",0.840967163028407,2.30844312865681,0.133557560458231,0.256773127692969
"gene185","gene185",0.889849014267201,2.22536617987907,0.131217341240124,0.262055552249883
"gene 97","gene 97",0.852017587273535,2.28516866254284,0.131173927836834,0.262154070129745
"gene168","gene168",0.753712265031648,2.13645139382787,-0.050042548135296,0.265707174417321
"gene 47","gene 47",0.959403037048101,2.04511859816973,0.128625884771611,0.267969392085611
"gene  7","gene  7",0.854354149576607,1.76923576487298,-0.0488558685409058,0.268425903037405
"gene 70","gene 70",0.85593933601471,1.76602192256788,-0.0481237317138112,0.270110206059957
"gene 89","gene 89",0.787905392055581,2.37334317818236,0.124950217758989,0.276471149677384
"gene 27","gene 27",0.791056108843254,2.0329908325203,-0.0427139568299488,0.282717048921291
"gene104","gene104",0.947808851366009,2.06281121817095,0.121150268907795,0.285397167479083
"gene197","gene197",0.947741720549994,2.06051920268489,0.120587331483286,0.286731079959272
"gene178","gene178",0.968170597684717,1.97009550967834,0.119851528066353,0.28847905178593
"gene213","gene213",0.945606310203864,2.06084589460753,0.118523497278815,0.291646565985926
"gene 72","gene 72",0.888988698283911,2.20153152265168,0.11781071644347,0.293353293865915
"gene 57","gene 57",0.704258037730465,2.25641423488206,-0.0344704499755597,0.302454217210703
"gene 56","gene 56",0.867606968464231,2.23029102379052,0.111872565101554,0.307748428404465
"gene 15","gene 15",0.83839136524543,1.89147357031499,-0.0311769651982561,0.31050881549983
"gene 33","gene 33",0.801601091005208,2.03792617904097,-0.0309536040229959,0.311058434823655
"gene 29","gene 29",0.761521656530568,2.16814430806003,-0.0296983058346626,0.314155131815783
"gene200","gene200",0.761048882583251,2.17068864414939,-0.0290079291487724,0.315863834809128
"gene144","gene144",0.83293309230419,1.92309098319765,-0.0282642102275227,0.317708973192231
"gene152","gene152",0.967733230111152,1.40982399007169,-0.0250878998584446,0.325639885129271
"gene  2","gene  2",0.921014964567137,1.59979033379859,-0.0249523868715319,0.325980042006689
"gene180","gene180",0.947414994361297,1.98255042935288,0.102370784938947,0.331403107129672
"gene 84","gene 84",0.892766316726505,2.16435788501084,0.100057029779412,0.337271320141562
"gene187","gene187",0.841839760638528,1.92309098319765,-0.0193575418931845,0.340147498380126
"gene 21","gene 21",0.88143072203155,2.18215600834092,0.0978175211650038,0.342989199318834
"gene 34","gene 34",0.818461467356043,2.02978155869176,-0.0160882724097241,0.348533391439476
"gene 40","gene 40",0.967313668141079,1.87496631637002,0.0932220845874508,0.354834208085209
"gene110","gene110",0.926248862973089,2.03545164150031,0.0930830665036115,0.355194801635434
"gene 51","gene 51",0.851191965268797,2.22536617987907,0.0925602922417202,0.356551963915521
"gene153","gene153",0.913626171911382,1.68103986661031,-0.0122957624368425,0.358354751771786
"gene 73","gene 73",0.879808122443628,2.17068864414939,0.0897513107116047,0.363875046786663
"gene128","gene128",0.846000606187333,1.94563114923103,-0.00910355060485124,0.36669511731226
"gene  1","gene  1",0.966695176667781,1.85983692258248,0.088402710610788,0.367408819130108
"gene170","gene170",0.92505568924025,2.019217890386,0.0880580777708561,0.368313687782848
"gene 87","gene 87",0.846646280798928,2.22406354246406,0.0872758305927095,0.370370262954406
"gene 61","gene 61",0.947968322610287,1.92284907045392,0.0867088119172018,0.371863312951628
"gene156","gene156",0.854893819971919,1.92140013099632,-0.00673861446988921,0.372915142146723
"gene 62","gene 62",0.870228967040124,2.18076978431555,0.0857581762216404,0.374370806054202
"gene186","gene186",0.774945136032816,2.1876358665212,-0.00515947715702247,0.377087075130729
"gene209","gene209",0.935612329778208,1.96057522795893,0.0846799992844238,0.377221154158105
"gene115","gene115",0.977255850608172,1.80803431329702,0.0845324699716881,0.377611698289284
"gene122","gene122",0.92310875485468,2.00968258875321,0.0841549994379752,0.378611518842396
"gene 25","gene 25",0.818409182917619,2.08625290552633,-0.00364990363466233,0.381088693787506
"gene103","gene103",0.93356120635465,1.63561727637208,-0.00363246477012269,0.381134996515106
"gene166","gene166",0.791314305251371,2.15954154091312,-0.00313895532771569,0.382446039225815
"gene151","gene151",0.954324257641613,1.56143368151744,-0.000982151491369931,0.388191382774784
"gene165","gene165",0.877823587704126,1.86111609155507,-0.000112312387036351,0.390515501342772
"gene150","gene150",0.895718890293946,2.10182318064804,0.0782669358081461,0.394308747932817
"gene 64","gene 64",0.828836441558659,2.23729464615534,0.0774589827561559,0.396476799860856
"gene111","gene111",0.894801101673084,2.10182318064804,0.0773491471872843,0.396771780305289
"gene 13","gene 13",0.872229952896825,1.89420292008354,0.00340125606626629,0.399942451512413
"gene 88","gene 88",0.957065635043648,1.56823273951949,0.00341312962313634,0.3999744108889
"gene 38","gene 38",0.905468549641302,2.04748955532528,0.0752718463262285,0.402361637766303
"gene181","gene181",0.977204830286962,1.77337033584911,0.0750955752369649,0.4028369075182
"gene 90","gene 90",0.887230147807385,1.84442296161242,0.00463049815317174,0.403254651378391
"gene 67","gene 67",0.828842780482172,2.0759771375832,0.00467781692365332,0.403382292562433
"gene204","gene204",0.900618553019598,2.06676876389275,0.0747779534677465,0.403693655179999
"gene 50","gene 50",0.83334540640616,2.06234247715499,0.00658666079281123,0.408539790497006
"gene 49","gene 49",0.82928415548253,2.08625290552633,0.00722506893024832,0.410268291593042
"gene210","gene210",0.867218040967181,1.92908055658172,0.00758815210617747,0.411252126093362
"gene195","gene195",0.819530529665101,2.1221611978026,0.00981098625143051,0.417287218119658
"gene175","gene175",0.892200748088905,1.8534890415589,0.0121362981325102,0.423621441789543
"gene 52","gene 52",0.789557099575534,2.19255026965881,0.0126717971854433,0.425083021345265
"gene 54","gene 54",0.976167830524794,1.73893474521368,0.0649998379103831,0.430275779476629
"gene147","gene147",0.76087519739096,2.24580483509971,0.0150510818406522,0.431589177220804
"gene 82","gene 82",0.926954177132944,1.7497130665334,0.0185957621065073,0.44131610018037
"gene132","gene132",0.888485211851852,1.89147357031499,0.0189168814081662,0.442199122677339
"gene 10","gene 10",0.947510172525041,1.67692649497159,0.0205583566534062,0.446717290379115
"gene 48","gene 48",0.936092542435591,1.86282669730876,0.058633145704489,0.447763367453245
"gene 81","gene 81",0.938137756723258,1.8534890415589,0.0580733067668638,0.449306473266518
"gene 14","gene 14",0.868136907352746,1.97967784933389,0.0223566387841746,0.451674999826729
"gene120","gene120",0.947784498215144,1.68765214002665,0.0235225711716607,0.454893456953526
"gene171","gene171",0.935025620705571,1.73893474521368,0.0238576280911605,0.455818910499688
"gene208","gene208",0.767712128335642,2.25078672664268,0.0252122122176379,0.459562770973202
"gene 16","gene 16",0.869159681260363,2.10703421219287,0.0535454227055242,0.46181303481627
"gene189","gene189",0.850602084642693,2.07411966053262,0.0261281198188419,0.462096251683116
"gene 71","gene 71",0.75782440992325,2.26723608649848,0.0262349619624849,0.46239188860083
"gene  3","gene  3",0.841413116188948,2.17376341261735,0.0529123354443555,0.463564998668523
"gene109","gene109",0.889934664375112,1.91875495821226,0.0276183702154599,0.466221657962924
"gene 96","gene 96",0.890375254550956,1.91875495821226,0.0280589603913042,0.467442043427102
"gene173","gene173",0.92763921541966,1.7872628647096,0.0292569671263556,0.470761902615436
"gene 37","gene 37",0.891956077657288,1.99506845582904,0.0499410474545608,0.471796432062587
"gene 28","gene 28",0.839001071617089,2.17068864414939,0.0489442598850661,0.474560734644263
"gene 79","gene 79",0.900227799316762,1.9577043929905,0.0484967554164186,0.475802165558763
"gene 98","gene 98",0.848093842072713,2.14474356617066,0.047797513140215,0.477742413092192
"gene141","gene141",0.900370978691539,1.90039974225451,0.0332111666697839,0.481732768796201
"gene 41","gene 41",0.926469095312931,1.8418472222162,0.0431488811059695,0.490652586788058
"gene182","gene182",0.979765833105174,1.61640855822582,0.0378589562527498,0.494645077692502
"gene159","gene159",0.981181576125095,1.62468442603841,0.041302335277543,0.495784285913186
"gene119","gene119",0.87403484933879,2.02704903649726,0.038831714168442,0.497348718060947
